Bundesland,GueltigeWaelende,CDU/CSU,SPD,GRÜNE,FDP,DIELINKE,AfD
Baden-Württemberg,5942743,3244938,2535389,2080558,1619736,372565,1132994
Bayern,7553116,5190864,2677527,2091565,1378395,398368,1314013
Berlin,1682119,628374,740982,717615,243290,432786,310474
Brandenburg,1527758,517559,888326,257477,263520,272390,557390
Bremen,327057,124491,211656,128917,52917,51275,44274
Hamburg,1003324,334792,633173,487860,199205,140085,100365
Hessen,3295933,1662660,1910164,1001946,736833,273042,576315
Mecklenburg-Vorpommern,918086,340772,528776,134620,142793,217768,335319
Niedersachsen,4518572,2416649,3102285,1373661,822440,291442,628466
Nordrhein-Westfalen,9868519,5540177,5948854,3087763,1981491,684816,1422530
Rheinland-Pfalz,2325669,1263358,1382717,540381,465811,160266,420995
Saarland,573113,294457,422106,62692,112738,71531,113865
Sachsen,2459579,969161,885573,383704,491228,512812,1234931
Sachsen-Anhalt,1200178,551649,528282,143027,184469,272906,477357
Schleswig-Holstein,1760013,854374,1024356,638396,387230,119761,233207
Thüringen,1263081,477440,595470,151405,203291,300311,602204
